Operation_ID,Operation_Name,Commander,Operation_Start_Date,Operation_End_Date
1,Операція Альфа,Іван Петренко,2023-01-15,2023-02-28
2,Операція Бета,Олена Коваленко,2023-02-10,2023-04-20
3,Операція Гамма,Петро Сидоренко,2023-03-05,2023-05-15
4,Операція Дельта,Марія Шевченко,2023-01-20,
5,Операція Епсилон,Іван Петренко,2023-04-10,
6,Операція Зета,Олена Коваленко,2022-12-01,2023-03-15
7,Операція Ета,Петро Сидоренко,2023-05-01,
8,Операція Тета,Марія Шевченко,2023-01-05,2023-06-10
9,Операція Йота,Іван Петренко,2023-06-15,
10,Операція Каппа,Олена Коваленко,2023-07-01,
